gaTrackerData.jobId,icon,name,highlightPhrase
3258418289,health,Health Insurance,Esri pays 100% of the premium for employee and family.  We have minimal co-pays for Doctor and Medication. 
3258418289,vacation,Vacation & Paid Time Off,"Vacation time is tiered on how long you've been employed there.  Sick time is only 5 days a year, which is easy to burn through with one illness."
3295785820,health,Health Insurance,The benefits are good and offer a lot more then some other companies may offer. 
3295785820,vacation,Vacation & Paid Time Off,do not get both just one at 4.23 for the first 5 years 
3295785820,pension,Pension Plan,Yeah right keep thinking it's worth it
3451529720,discount,Employee Discount,Free Shipt Membership for Shoppers. 
3451529720,holidays,Paid Holidays,There are no paid holidays. 
3451529720,flexWorkSched,Reduced or Flexible Hours,you can work whenever but no PTO
3453090977,health,Health Insurance,The best thing is that we have it.  The worst is the cost.
3453090977,vacation,Vacation & Paid Time Off,the vacation plan is an immediate accrual plan meaning after you have been emplolyee 60 days you begin to earn vacation you do not need to work a year before you get paid time off.
3453090977,retirement,401K Plan,My plan my money.  I think they stopped matching??
3437435293,discount,Employee Discount,The employee discount is hilariously bad.
3437435293,health,Health Insurance,It’s what you would expect from a large us company 
3437435293,vacation,Vacation & Paid Time Off,Flexible PTO and management uses the policy too. Actually use it. BEST PERK
3356397190,vacation,Vacation & Paid Time Off,"PTO accumulates every pay check, and (depending on your manager) usage is pretty liberal, you can even go in the hole on your PTO"
3356397190,health,Health Insurance,"Ins is Select Health, it is good ins, but it is also very expensive for a family. If your single it is great"
3356397190,sickDays,Sick Days,a joke. especially if you call in and PS  is on duty. talking to her makes you more sick.
3456304374,health,Health Insurance,It’s decent could be worse
3456304374,vacation,Vacation & Paid Time Off,Unlimited vacation time as long as your management team approves of it.
3456304374,retirement,401K Plan,"Typical 401(k), but company match capped at $1,000"
3451288215,retirement,401K Plan,"good matching, pretty standard to most other similar companies of size, overall good"
3451288215,health,Health Insurance,"lots of different packages, good coverage for the whole family, vision, health, dental, easy to review and select"
3451288215,vacation,Vacation & Paid Time Off,"comprehensive, high number of days, maternity/paternity leave, bereavement, more than other companies (other large pharma)"
3464733041,vacation,Vacation & Paid Time Off,Vacation & paid time off is good.  Would be nice if people could be off fully when on vacation
3464733041,wfh,Work From Home,Too much dependance on the manager 
3464733041,matPatLeave,Maternity & Paternity Leave,Paternity is only 3 weeks; better than many companies but not close to the best
3449709722,retirement,401K Plan,the 401k plan is great - it's great to see how much the company matches
3449709722,health,Health Insurance,"health insurance could be better, but luckily the company offers multiple options"
3449709722,vacation,Vacation & Paid Time Off,vacation and paid time off are lumped into one sum
3438673293,health,Health Insurance,"Options for families are good - EPO, PPO, etc"
3438673293,vacation,Vacation & Paid Time Off,Competitive within the market on the professional (non-clinical) side.
3438673293,retirementPlan,Retirement Plan,"The 403b match is only matching 50% on the dollar up to 3%. 
Excellent fund choices (Vanguard index funds)"
3396706940,vacation,Vacation & Paid Time Off,Unlimited PTO after 90 days probation period 
3396706940,retirement,401K Plan,Vesting schedule is way too long
3396706940,health,Health Insurance,"Great Benefits, Professional Development Reimbursement and Unlimited PTO"
3377779495,health,Health Insurance,Could be worse - like United Health Care
3377779495,retirement,401K Plan,2%  match - nothing to run home and brag about. 
3377779495,vacation,Vacation & Paid Time Off,"They are very fair about this, I must say. "
3394224142,health,Health Insurance,I loved that there was a $0 deductible option!
3394224142,retirement,401K Plan,good benefit plan and 401k
3394224142,matPatLeave,Maternity & Paternity Leave,"good maternity leave, don't remeber"
3360748380,health,Health Insurance,I have the choice of using my own doctors.
3360748380,retirement,401K Plan,The investment choices are satisfactory.
3360748380,vacation,Vacation & Paid Time Off,It is a standard vacation benefit for the area.
3460570383,health,Health Insurance,"HMO insurance plan. Used to be through Group Health (aka Group Death), which has since turned to Kaiser Permanente. Most staff don't take advantage of health benefits because they are too busy working to make ends meet. There is often retaliation from department management and co-workers when you take time off to go to the doctor or when you are sick. "
3459304526,retirement,401K Plan,8%+ match; depends on age & tenure
3459304526,health,Health Insurance,BCBS; low cost; can get rebates for being healthy
3459304526,vacation,Vacation & Paid Time Off,"3 weeks given; you can ""buy"" an extra week."
3395091170,health,Health Insurance,Getting paid back$$  for any expense is like pulling teeth!
3395091170,vacation,Vacation & Paid Time Off,not impressive amount of PTO days
3395091170,retirement,401K Plan,401k is the only thing that is good
3395177677,health,Health Insurance,100% coverage for mental health (in or out of network).  Local healthcare insurance company is not widely accepted as a norm which limits doctor options.
3395177677,food,Free Lunch or Snacks,It's gourmet.  A great mixture of healthy and sweet options.  Lunches are very high quality with a good variety.
3395177677,retirement,401K Plan,Generous matching program as well as bringing in experts to help employees to plan for their retirement.
3457332962,health,Health Insurance,Overall benefit is good. They also cover yearly medical check for spouse. Dental treatment coverage for family.
3457332962,vacation,Vacation & Paid Time Off,Vacation and paid Time off is good 
3457332962,dental,Dental Insurance,Dental Insurance is good 
3456875935,health,Health Insurance,I had no major issues with coverage the one time I needed to use it. Had I not been covered the cost would have been a major setback to my financial situation.
3456875935,vacation,Vacation & Paid Time Off,Generous PTO can be used for sick days as well as vacation.
3462803186,health,Health Insurance,"only $5 a month for single employee, good coverage"
3462803186,retirement,401K Plan,"matching 6%, good 401k plan"
3462803186,food,Free Lunch or Snacks,Great culture. Company paid snacks and quarterly lunches
3205965286,wfh,Work From Home,Cultural Care has a broad network of field-based staff. We use MS Teams and Zoom for meetings (even just one on one) to have face time. Cultural Care tries to engage field staff.
3205965286,jobTraining,Job Training,Training was helpful and they give you  tools to work with on the company operating system. They also offer weekly conference  calls to answer questions.
3205965286,vacation,Vacation & Paid Time Off,"4weeks off a year plus 8 paid holidays, unlimited sick time. "
3464996800,health,Health Insurance,Absolutely awful insurance - extremely expensive and already a high deductible plan. 
3464996800,retirement,401K Plan,There’s no matching period 
3464996800,dental,Dental Insurance,"Good price, good coverage, so far, no complaints."
3389991373,pension,Pension Plan,"The accumulation of pay time off is rapid, the health insurance is very affordable. The promotion of self elevation is encouraging."
3389991373,health,Health Insurance,Very good and reliable health insurance 
3444842962,health,Health Insurance,Good health insurance. Everything is pretty good. Average co-pay. And dental is great also 
3444842962,retirement,401K Plan,"I'm new to it so I have no complaints. They are putting money away for me, so I approve. "
3444842962,vacation,Vacation & Paid Time Off,"Good PTO policy. Wish it was unlimited, but happy with what I have. "
3466689189,health,Health Insurance,Expensive benefits and not the greatest in the market
3466689189,retirement,401K Plan,they match and are increasing that
3466689189,dental,Dental Insurance,"no benefits, but still a great agency"
3451096594,health,Health Insurance,We are self insured and have not seen a premium hike in the past several years. This is a great program. 
3466270887,health,Health Insurance,"only $5 a month for single employee, good coverage"
3466270887,retirement,401K Plan,"matching 6%, good 401k plan"
3466270887,food,Free Lunch or Snacks,Great culture. Company paid snacks and quarterly lunches
3451288705,retirement,401K Plan,"good matching, pretty standard to most other similar companies of size, overall good"
3451288705,health,Health Insurance,"lots of different packages, good coverage for the whole family, vision, health, dental, easy to review and select"
3451288705,vacation,Vacation & Paid Time Off,"comprehensive, high number of days, maternity/paternity leave, bereavement, more than other companies (other large pharma)"
3450398106,health,Health Insurance,Health insurance what also a great benefit and they are very helpful and helping you with choosing the right package to help your family.
3450398106,retirement,401K Plan,The 401K is great I think that cover 50 percent of what you put inn. and if there is any question or concern they are able to assist you.
3450398106,vacation,Vacation & Paid Time Off,Vacation and paid time off was given to me and was pro rated. I was able to received 2 week even though I started during the middle of the year.
3467159848,matPatLeave,Maternity & Paternity Leave,Good paternity & maternity leaves
3467159848,health,Health Insurance,"very inexpensive and high degree of in network coverage, i've had little issues over the past 8 years"
3467159848,retirement,401K Plan,used to be better with higher matches for tenure. now it is 6% at 100% plus automatic 3% annually
3463700155,discount,Employee Discount,Half off for myself and family.
3463700155,jobTraining,Job Training,They will train for other jobs such as if you want to move up too management.
3463700155,flexWorkSched,Reduced or Flexible Hours,"Buca was not flexible with hours. If you did not show up, you would be warned and your reduced schedule will reflect that by showing that your hours have been reduced. "
3371239505,discount,Employee Discount,Discounts for employees are at 40% off merchandise all year long. Discount increased to 50% off for 2 weeks around Christmas. 
3258425728,retirement,401K Plan,Great for interns too as well. 
3258425728,health,Health Insurance,Package options were mediocre and expensive 
3258425728,vacation,Vacation & Paid Time Off,Everyone wants the same days off so submit requests in advance 
3461851902,health,Health Insurance,"Although it was offered, currently, I am not receiving benefits as a contractor."
3461851902,retirement,401K Plan,3% match - average / standard 
3461851902,holidays,Paid Holidays,"Standard paid holidays. New Year's Day, MLK Jr Day, Memeorial Day, 4th of July, Labor Day, Thanksgiving and Black Friday, Christmas Day. Plus 2 Floaters."
3447240015,retirement,401K Plan,"Matching only 50% up to 6%,"
3447240015,vacation,Vacation & Paid Time Off,Very fair PTO plan with floating holiday (birthday day).
3447240015,health,Health Insurance,You have two Options Traditional or PPO.  PPD pays ~60% of your Medical/Dental/Vision insurance through UHC
3456874201,health,Health Insurance,"There are several different plans to chose from, both Kaiser and Regence Blue Cross Blue Shield, with different deductibles.  Also two different vision and dental plans as well."
3456874201,vacation,Vacation & Paid Time Off,"Time accrued plan, with separate sick time.  Solid over all, would prefer a no limit type plan but, who wouldn't. "
3466348056,health,Health Insurance,"cost is not too high, plus they can take it right out of your pay, which makes it easier."
3466348056,vacation,Vacation & Paid Time Off,As you move up in years served the leave is quite awesome.  
3466348056,retirementPlan,Retirement Plan,5% matching for IRA and pension is reasonable 
3442242274,health,Health Insurance,good health insurance but you must pay for it as an automatic deduction from your paycheck. no HSA just HRA account
3442242274,retirement,401K Plan,NYL has a very competitive match 
3442242274,pension,Pension Plan,"Great pension, will take average annual income and likely be larger depending on several factors "
3420335537,wfh,Work From Home,Flexible yet accountable.  Solid management outlook.   
3460466840,discount,Employee Discount,You basically get between 30%-40% discount 
3460466840,health,Health Insurance,"Their health insurance coverage was competent, and useful in the case of ER visits, and hospital bills. "
3460466840,retirement,401K Plan,"they are willing to match 5% ant that is it,don`t really pay enough to heavily invest in 1%"
3360966003,health,Health Insurance,$25 per week for single employee
3360966003,matPatLeave,Maternity & Paternity Leave,"The Maternity leave is the standard 6 or 8 weeks mandated by law. HR is inept though, so good look filling out the paperwork on your own to make sure you are paid during this time. "
3360966003,retirement,401K Plan,Fidelity choices and 3% matching
3186570414,health,Health Insurance,expensive with ridiculous coverage. Be prepared to pay more.. even start ups have a better option
3186570414,retirement,401K Plan,The employer matches up to eight percent of 401k
3186570414,vacation,Vacation & Paid Time Off,Vacation and PTO is nothing special. Same as most companies
3464784460,health,Health Insurance,"cost is not too high, plus they can take it right out of your pay, which makes it easier."
3464784460,vacation,Vacation & Paid Time Off,As you move up in years served the leave is quite awesome.  
3464784460,retirementPlan,Retirement Plan,5% matching for IRA and pension is reasonable 
3362810519,health,Health Insurance,very good and affordable based on family plan
3362810519,retirement,401K Plan,they match up to 6%
3362810519,vacation,Vacation & Paid Time Off,"Flexible vacation policy, which does not begin until after 6 months with the company, but there is so much to learn that there is not time to take off in the beginning anyway..."
3425627747,health,Health Insurance,Could be a little less expensive -- different options available.
3425627747,vacation,Vacation & Paid Time Off,Could be more time off in order to rejuvenate and continue to serve patients.
3425627747,matPatLeave,Maternity & Paternity Leave,3 months are offered for maternity leave
3444128474,health,Health Insurance,"great benefits, terrible base pay"
3444128474,retirementPlan,Retirement Plan,union pension is a suck
3444128474,sickDays,Sick Days,one sick day per month
3116082739,health,Health Insurance,Great options for choosing health insurance 
3268710703,health,Health Insurance,"The monthly cost for the employees is very low, and the doctor quality is very high. "
3268710703,retirement,401K Plan,employer contribution is not good
3268710703,vacation,Vacation & Paid Time Off,3 weeks (15 days) PTO plus major holidays and winter shutdown (Christmas Eve to New Years day). Goes to 4 weeks after 5 years. You also accrue sick time. 
3346009539,health,Health Insurance,they provide Health insurance for all employees
3346009539,retirement,401K Plan,"Very good plan with lots of options, also company match but only up to 4% of your salary"
3346009539,vacation,Vacation & Paid Time Off,Decent vacation time but limited roll over
3435075416,health,Health Insurance,"they dont train their employees 1 on 1, they do it via webex, for only 2 weeks, and than throw you to the wolves"
3435075416,retirement,401K Plan,I like that they match up to 4% I think.
3435075416,vacation,Vacation & Paid Time Off,I like that we are able to purchase an additional week of PTO - paid time off.
3449319373,retirement,401K Plan,"Good plan, great choices and awesome contribution."
3449319373,vacation,Vacation & Paid Time Off,"Full time employees have many PTO, but contractors are hourly paid."
3449319373,health,Health Insurance,"It works, it'll pay for stuff, but make sure you get a FSA and put a good amount on there. "
3467005831,health,Health Insurance,"The best thing is that they cover the basic essentials. However, they require you to pay some parts out of your own pockets. "
3467005831,vacation,Vacation & Paid Time Off,They give you a lot of Paid Time Off only downside is they use your Paid Time Off if you call in sick. 
3467005831,retirement,401K Plan,So small it's virtually no employer contribution. The amount is so small and vesting time is MUCH longer than most employees stay and nearly double industry standards.
3422244715,health,Health Insurance,"I have amazing health insurance I currently belong to Cedars-Sinai, one of the best hospitals in the world. "
3422244715,retirement,401K Plan,"Great plan, 401k plan is very well done"
3422244715,wfh,Work From Home,"BlackLine provides a tremendous amount of resources for your personal and family's health, they take the best care of you so you may be able to be at your best! "
3464995281,discount,Employee Discount,40% discount for employee purchases. 
3464995281,health,Health Insurance,Variety of options offerred to all employees
3464995281,vacation,Vacation & Paid Time Off,There was no PTO for any part-time employee.
3443802193,health,Health Insurance,We pay a lot out of pocket monthly and it’s high deductible 
3443802193,retirement,401K Plan,Only available after one year
3348637828,wfh,Work From Home,Working from home is welcomed and encouraged. Developers are often remote for months at a time. 
3348637828,health,Health Insurance,Health insurance is by Carefirst. Company pays almost 60% of it
3450822775,discount,Employee Discount,It’s not a big discount will not be noticed unless it’s a big purchase 
3450822775,health,Health Insurance,Definitely the worst I have ever seen.  I don’t know what really keeps people here.  I could never afford it.
3450822775,vacation,Vacation & Paid Time Off,You have to work for at least 3 years to get 10 days of Vacation. 
3453115201,retirement,401K Plan,They do match the 401k 5%. I think that was very nice but most places do it as well now. 
3453115201,health,Health Insurance,Not the best insurance there is but not terrible.
3453115201,vacation,Vacation & Paid Time Off,You get 15 days off but it is very hard to take extended vacation during summer 
3402861316,health,Health Insurance,"Whether you’re getting a cheap deal just for yourself or an expensive price for you and a spouse, the options are still bad."
3402861316,vacation,Vacation & Paid Time Off,"Standard, but good luck getting time off approved if you’re requesting less than a month in advance of when you need it."
3402861316,retirement,401K Plan,Up to 5% company match depending on your level of contribution after 60 days of employment
3437797897,discount,Employee Discount,Depends on the vehicle the longer is been in the front the more of a discount you get. You can also purchase wholesale cars for cheap
3437797897,retirement,401K Plan,The matching was okay and the plan performance was what you would expect. 
3437797897,health,Health Insurance,Really good as well it has a  very good app that you can even track steps for gift cards
3464161360,matPatLeave,Maternity & Paternity Leave,"Three months away for new moms, one month off for proud papas. Paid."
3464161360,health,Health Insurance,"Health, dental, short and long-term disability insurance with employee premiums covered 100% but you pay for your family at essentially 100%."
3467025443,health,Health Insurance,"cost is not too high, plus they can take it right out of your pay, which makes it easier."
3467025443,vacation,Vacation & Paid Time Off,As you move up in years served the leave is quite awesome.  
3467025443,retirementPlan,Retirement Plan,5% matching for IRA and pension is reasonable 
3385824529,retirement,401K Plan,match is good. Could be better. 
3385824529,vacation,Vacation & Paid Time Off,3 weeks to start and 5 weeks after 5 years
3385824529,wfh,Work From Home,You don't get to work from home when you're building parts.
3291977580,vacation,Vacation & Paid Time Off,"Time off is time off, you accumulate leave like most places and can take it anytime you wish."
3291977580,health,Health Insurance,"Health insurance is good, but it is expensive"
3291977580,retirement,401K Plan,401k match is the best I have ever seen from a company.
3358729057,health,Health Insurance,Affordable healthcare for all employees
3358729057,retirement,401K Plan,They offer a decent match.
3358729057,vacation,Vacation & Paid Time Off,"You get those days, vacation and sick. When your out teaching you stuck, sometimes even working if your sick. "
3462751913,retirement,401K Plan,"Mutual of Omaha is the 401(K) administrator and they provide outstanding customer support service, they consistently underpromise and over deliver."
3462751913,health,Health Insurance,Good health benefits for employees with Bcbs
3462751913,vacation,Vacation & Paid Time Off,Would be nice if the time rolled over but it's still pretty generous.
3464497626,retirement,401K Plan,Great for interns too as well. 
3464497626,health,Health Insurance,Package options were mediocre and expensive 
3464497626,vacation,Vacation & Paid Time Off,Everyone wants the same days off so submit requests in advance 
3443568734,health,Health Insurance,𝐇𝐞𝐚𝐥𝐭𝐡 insurance is expensive 
3443568734,vacation,Vacation & Paid Time Off,Everyone starts with 15 days.
3443568734,retirement,401K Plan,Excellent match for 401k  and the company 
3463295379,health,Health Insurance,"Three plans are offered, and the CDHP is a very affordable option for people who are willing to take on the ""risk"" associated with such plans. "
3463295379,retirement,401K Plan,The contribution is on par with other companies. It's pretty standard. I think all companies could look at a more aggressive approach to helping employees save for retirement.
3436231318,retirement,401K Plan,Company matches 5% 401k contribution and also will contribute as annual bonus on the end of the year. 
3436231318,health,Health Insurance,"Good insurance but some of them are really expensive. Good HSA pay by the company. 
"
3436231318,vacation,Vacation & Paid Time Off,Company gives 3 weeks off when you get hired the first year to third year. And add one day every year  after three years. 2 days after 5 yeards employment 
3463887502,health,Health Insurance,you just have to pay 10$
3463887502,retirement,401K Plan,good 401k which offers 11%
3463887502,vacation,Vacation & Paid Time Off,Company has good paid vacation time.
3467300118,health,Health Insurance,"Health Insurance was reasonably priced but annual enrollment period gets stressful cause if you miss enrollment deadline, it's insanely hard to work with HR to get a second chance to enroll"
3467300118,vacation,Vacation & Paid Time Off,Decent amount for a limited PTO if you consider the off friday schedule.  But still could use a little more
3467300118,retirement,401K Plan,Company has pretty good matching
3406667320,health,Health Insurance,Healthcare insurance is excellent. 
3406667320,vacation,Vacation & Paid Time Off,"Very slow to earn time off and traditional office holidays (Veteran's Day, MLK Day, etc.) are not available. "
3406667320,wfh,Work From Home,It is flexible for employees to work from home.
3411424032,retirement,401K Plan,The only thing that I can say is not the best benefit is the 401k match. The company matches up to 4% and that starts only after 1 year of employment. 
3411424032,health,Health Insurance,"Good health insurance, three option to pick from. Prices are good, so far so good. Insurance options depends on location. Overall is good!"
3411424032,vacation,Vacation & Paid Time Off,"Great vacation, sick days and personal days. The PTO format is followed so you will have to accrue a little bit before you start enjoying some time off."
3437023870,matPatLeave,Maternity & Paternity Leave,Provides needed time to all parents
3437023870,health,Health Insurance,Good but not great after the changes to the deductible.  
3437023870,retirement,401K Plan,Good match of funds 
3259348408,food,Free Lunch or Snacks,"They have wonderful coffee, and gluten free snacks"
3259348408,discount,Employee Discount,"Employee discounts on many things including mortgage rates! There are employee discounts for many stores, restaurants, and brands as well. "
3259348408,health,Health Insurance,The health benefits are very good. Ive never had to pay out of pocket for anything
3457416920,health,Health Insurance,The health insurance isn’t ideal but it’s fine I guess I’m not really sure 
3457416920,retirement,401K Plan,They have it which is good but they do not match it whatsoever 
3457416920,dental,Dental Insurance,They have it and it’s fine but I never used it all that often 
3443518955,pension,Pension Plan,"PERA, good and very stable "
3443518955,wfh,Work From Home,WFH is currently less than 50% of the time but I hope they will continue to increase that in the future.
3443518955,retirement,401K Plan,Match at 3% at 6% contribution.  
3235323167,matPatLeave,Maternity & Paternity Leave,They have recently included paid time off for the non-birthing parent.
3235323167,health,Health Insurance,"Insurance offerings are limited, and out-of-pocket monthly costs are higher than other companies I've worked at.  Only one package (a special type of HMO which is restrictive and has high co-pays and/or deductible limits) comes with the HRA, but any other does not."
3235323167,retirement,401K Plan,Their matching contributions are the best around.  One of the legacy traditions from their MIT roots I believe.  
3432322070,wfh,Work From Home,"depends on department, flexible though"
3445160920,health,Health Insurance,"Their health insurance plans are easy to apply for, and they provide a good range of options, the package prices are fair and can be deducted directly from paycheck, "
3445160920,matPatLeave,Maternity & Paternity Leave,company pays for 8 weeks fully paid time off
3445160920,retirement,401K Plan,company matches up to 6% of contribution
3444868153,wfh,Work From Home,It’s ingrained in the culture.  Appirio makes WFH work!
3329455063,retirement,401K Plan,They do match the 401k 5%. I think that was very nice but most places do it as well now. 
3329455063,health,Health Insurance,Not the best insurance there is but not terrible.
3329455063,vacation,Vacation & Paid Time Off,You get 15 days off but it is very hard to take extended vacation during summer 
3374313319,health,Health Insurance,"Great health Insurance, affordable and quality care."
3374313319,retirement,401K Plan,"Benefits are average , nothing special "
3374313319,vacation,Vacation & Paid Time Off,"Get full PTO time at beginning of year, this is both vacation and sick time in one"
3453192671,retirement,401K Plan,you contribute 6% then the company matches 3%. This is pretty low for a profitable .com business.
3453192671,health,Health Insurance,Great options for everyone in the family.  They also kept the costs low for all employees.
3385117943,health,Health Insurance,The benefits are pretty comparable with other companies.
3385117943,retirement,401K Plan,Was 4 to 1 when I started but still currently 2 to 1 which is great in the market! Unfortunately 4 to 1 was unheard of then and since!
3385117943,vacation,Vacation & Paid Time Off,Start with 4 weeks vacation and work to a max of 6 weeks! Top notch vacation! Hard to use the 6 weeks!
3413506320,wfh,Work From Home,some positions have the ability to work from home
3413506320,health,Health Insurance,"I think it was adequate. Not anything special, but I did pay a lot more for prescriptions because they had a high deductible option, which I used to lower premium."
